Temperature,Appliances,TimeOfDay,PreviousUsage,Consumption
28.8,3,22,5.88,6.3
30.7,8,15,7.68,6.64
32.5,2,11,7.94,4.62
37.5,7,16,7.51,7.5
28.3,2,15,8.73,5.09
24.5,4,11,3.61,4.4
33.9,7,7,6.64,7.17
23.4,3,19,2.15,5.24
26.8,2,2,5.23,4.77
19.6,10,15,6.36,6.75
18.5,7,12,8.17,5.79
37.3,1,22,11.46,7.08
34.7,8,18,7.61,9.79
31.9,3,7,9.18,5.09
26.2,2,21,6.57,6.04
21.5,3,4,7.98,4.58
21.1,5,19,1.78,5.75
23.0,8,7,3.8,6.27
29.0,10,23,4.98,7.26
32.3,7,11,6.2,6.35
31.2,7,0,1.5,5.96
23.6,7,20,2.54,6.55
37.1,8,19,4.04,8.13
32.8,1,5,11.69,5.42
29.1,4,21,4.64,7.24
30.2,6,17,6.3,6.04
26.4,9,7,3.16,6.43
23.0,2,6,7.72,4.58
25.1,1,0,4.09,2.68
33.2,10,20,3.28,8.93
18.3,2,15,6.68,3.88
20.3,7,11,1.06,4.97
18.9,3,5,1.08,3.54
18.8,10,19,3.41,7.45
35.1,2,1,1.4,3.33
32.1,7,13,2.19,6.12
27.5,2,3,4.73,4.14
20.0,3,0,9.83,5.1
27.8,7,22,7.29,8.56
27.5,4,17,6.64,5.27
21.5,1,12,4.23,2.76
26.7,5,1,11.25,7.13
26.0,9,8,5.37,6.6
30.3,8,20,1.96,8.34
30.7,9,1,7.79,7.46
18.9,10,8,2.25,6.66
25.5,9,0,4.8,6.49
30.5,7,10,6.58,7.11
28.1,4,2,10.62,6.01
35.1,5,19,6.43,8.8
31.2,1,22,8.72,6.19
21.3,1,3,11.92,4.49
19.4,3,17,2.45,2.99
30.8,8,22,4.02,8.46
18.5,2,5,5.34,3.39
29.7,4,2,5.64,4.5
36.8,2,21,5.52,6.0
29.5,5,10,10.98,6.86
25.8,9,14,8.85,7.64
30.9,1,21,7.69,5.84
27.2,5,4,4.4,4.89
28.9,9,19,10.06,9.66
36.8,1,9,11.51,5.52
25.7,9,11,10.03,8.11
37.2,8,14,1.02,5.82
36.1,4,16,8.0,6.76
21.9,10,9,1.56,7.14
19.4,5,5,3.83,3.44
20.0,5,17,1.65,4.64
18.4,6,12,7.64,6.02
19.9,7,2,8.55,6.28
31.7,8,23,2.26,5.96
19.4,8,9,5.22,6.55
24.4,2,13,6.02,3.83
34.9,9,5,5.06,8.0
18.5,7,2,2.33,6.05
34.3,4,15,5.61,5.67
23.6,4,6,9.26,4.94
20.4,8,19,1.78,7.2
31.9,4,13,1.88,4.34
30.6,6,8,4.9,6.23
35.5,5,14,11.36,6.77
32.7,3,20,8.35,7.06
34.1,10,2,8.47,8.17
23.6,2,1,4.98,3.62
21.5,9,1,7.53,7.2
33.0,10,2,1.11,6.13
34.1,9,17,8.0,8.33
37.8,1,13,11.05,5.44
26.3,10,19,7.74,9.45
25.4,3,17,10.61,6.2
33.5,8,9,8.96,8.32
24.8,6,1,2.33,4.61
36.6,5,21,10.93,9.32
35.2,5,0,1.73,5.94
26.6,6,3,6.87,6.12
33.0,7,13,2.56,6.41
33.1,1,0,1.13,3.45
20.1,9,13,5.64,5.73
36.1,3,15,4.25,4.92
28.1,4,21,6.35,6.88
34.5,10,13,7.35,9.23
24.4,1,19,1.48,4.62
35.9,10,2,2.35,7.66
25.8,3,2,7.15,4.66
18.2,2,8,4.77,3.68
36.1,2,5,9.02,5.33
19.8,1,12,8.18,3.19
24.4,8,20,10.3,9.08
37.0,3,1,8.62,6.28
37.0,3,7,5.73,5.56
29.5,6,20,8.4,8.39
30.6,8,1,4.03,6.86
27.0,9,3,4.37,6.74
23.9,9,14,9.68,7.62
24.6,4,3,5.91,4.53
31.5,5,12,9.78,6.4
33.0,2,11,10.05,5.95
33.8,9,12,10.43,8.15
33.8,8,13,11.08,7.99
19.8,3,19,5.74,5.2
27.9,9,17,4.51,6.43
19.2,3,5,7.4,4.13
29.0,9,10,5.08,7.01
26.8,2,1,7.61,5.21
35.8,10,22,8.76,10.61
25.0,9,18,8.57,9.97
20.3,8,18,5.12,8.38
20.9,9,4,2.84,6.14
33.2,5,18,5.74,8.69
30.4,2,1,2.57,3.92
20.0,8,9,10.79,7.82
19.7,6,1,4.8,5.77
32.0,8,10,2.7,6.83
19.5,5,17,1.28,4.38
34.4,10,23,8.1,8.99
32.1,2,14,8.01,4.39
19.6,6,8,4.75,5.15
19.7,5,22,1.79,6.43
37.7,5,18,5.51,8.74
25.5,1,8,4.42,2.96
25.4,2,2,8.45,4.69
34.3,8,20,7.66,9.59
36.9,3,8,5.01,5.15
37.7,10,13,3.4,8.29
33.1,3,18,11.87,8.03
25.5,8,6,5.99,6.96
19.7,8,15,8.57,7.37
33.5,2,15,2.55,4.39
29.2,8,0,6.34,7.22
26.5,1,3,1.3,3.64
36.1,6,3,6.56,7.27
20.2,8,6,11.6,7.26
27.9,3,7,5.23,3.98
18.2,8,16,1.43,4.87
27.4,1,4,1.34,3.3
19.1,9,6,5.27,6.24
20.4,9,19,2.76,7.53
20.4,5,19,1.26,5.57
31.0,10,3,9.32,8.35
32.9,4,5,6.04,5.9
29.7,6,6,4.18,5.76
37.2,7,17,10.9,7.47
25.5,5,4,2.28,4.71
23.7,10,19,11.52,10.37
35.4,9,2,4.45,7.47
22.5,3,6,10.77,5.61
37.3,7,21,7.63,9.12
18.2,10,13,10.09,8.27
37.4,10,6,11.82,9.89
18.9,5,4,4.17,4.93
35.8,7,21,11.57,9.4
28.6,2,4,5.28,4.18
37.9,4,22,5.24,7.55
19.5,2,1,4.74,2.67
29.1,7,20,6.96,9.03
37.4,2,21,2.7,5.81
28.5,1,5,7.09,3.73
30.6,9,14,6.96,7.29
31.9,1,20,9.38,6.81
27.1,8,9,10.17,6.91
30.6,2,22,5.84,6.48
29.7,8,23,4.33,7.23
36.0,3,6,3.85,5.16
18.9,6,4,3.14,5.1
23.6,3,0,1.63,3.87
37.0,7,12,4.77,6.54
35.8,10,20,3.97,10.52
27.1,9,17,11.63,8.1
30.4,2,12,7.13,4.59
23.5,5,20,4.82,6.65
21.8,6,20,7.39,7.8
27.3,4,17,2.53,4.2
25.1,4,4,5.88,4.9
29.7,4,12,7.89,5.04
19.6,2,3,6.38,4.14
37.5,4,16,5.42,6.08
37.7,1,2,11.93,5.48
32.0,6,16,10.68,6.97
28.7,1,10,7.86,4.45
24.2,10,20,7.26,9.22
34.3,6,19,7.83,8.71
31.7,1,22,3.21,5.89
21.3,6,20,5.35,6.8
36.2,10,3,1.43,7.82
34.5,8,1,6.23,7.62
37.0,2,19,6.97,6.87
32.5,2,15,3.51,3.91
30.3,4,17,11.6,6.86
26.4,3,7,11.0,5.17
36.7,4,2,8.94,5.53
35.3,7,8,6.87,7.5
18.9,1,19,10.57,5.12
18.5,6,5,2.44,4.93
25.5,3,9,9.7,5.74
34.2,10,20,2.37,9.75
37.7,7,9,9.74,8.4
21.0,10,12,4.03,7.81
29.9,2,16,10.65,5.64
25.6,2,8,11.38,5.15
37.4,4,16,2.64,6.0
34.8,1,23,6.09,5.12
34.8,3,8,11.79,7.05
27.4,9,8,6.32,7.16
26.3,7,0,10.5,6.53
23.5,7,1,7.48,6.13
19.1,4,15,5.13,4.57
35.3,2,0,4.14,4.54
34.3,4,9,3.24,5.03
38.0,6,17,9.38,7.68
37.9,3,7,5.25,4.67
29.1,1,20,6.62,5.83
33.4,8,10,6.42,7.93
36.9,5,22,7.35,8.57
35.0,5,1,10.52,7.25
22.9,4,7,11.79,6.47
27.0,6,21,5.48,7.62
20.6,3,7,10.1,4.52
37.1,9,16,9.41,9.25
30.1,5,14,7.31,6.5
22.6,3,16,11.52,5.48
31.4,1,22,3.21,5.27
30.4,10,23,2.2,7.33
25.2,6,12,10.39,6.01
20.3,2,18,5.83,5.87
31.4,3,4,10.32,6.2
28.4,1,11,10.82,4.08
33.4,9,0,1.69,7.42
28.4,8,22,10.72,9.78
35.0,2,4,5.93,4.31
29.0,8,7,6.61,6.57
29.2,9,12,7.89,7.97
35.5,1,7,11.19,5.13
26.1,5,22,1.21,7.17
20.7,8,10,6.25,6.81
18.6,2,0,8.56,4.14
33.1,4,12,8.95,6.29
30.4,7,18,8.62,9.53
32.1,3,23,2.48,4.75
22.3,5,2,4.29,5.03
20.7,8,23,4.95,5.71
18.3,10,16,9.85,9.11
25.0,3,4,4.07,3.59
29.8,4,19,3.32,6.44
25.8,9,20,11.53,9.24
26.7,7,7,1.1,5.73
36.1,1,13,11.98,5.56
25.0,4,3,8.45,5.67
28.3,4,10,10.11,5.1
33.7,9,19,4.24,9.81
25.9,6,14,1.16,4.62
30.4,9,18,9.12,9.86
35.2,6,6,10.18,7.77
37.0,6,18,9.15,9.22
20.9,5,18,2.57,6.33
36.5,5,10,9.29,7.2
27.8,2,4,9.46,5.02
23.2,8,4,8.24,6.79
27.2,8,21,9.43,9.2
37.6,1,7,10.31,5.41
27.9,8,9,7.75,6.82
24.6,5,5,1.97,5.02
30.7,2,14,6.36,4.63
22.8,2,15,1.85,3.09
19.5,6,16,5.48,5.78
20.6,9,7,5.48,6.63
20.6,1,7,1.73,2.33
21.0,6,8,4.84,5.03
20.8,9,1,2.22,6.27
30.8,8,14,9.89,7.98
21.6,6,17,11.42,6.18
24.9,3,2,1.8,3.59
35.9,8,16,11.51,8.25
27.5,9,3,6.75,7.15
31.4,1,3,4.3,2.96
21.4,9,13,1.85,5.99
21.8,6,8,6.51,4.85
18.8,6,8,9.74,5.75
21.4,4,22,8.78,6.62
23.6,1,17,1.55,3.09
21.5,10,9,1.8,6.09
19.8,8,20,5.43,7.62
20.4,2,3,4.25,3.13
27.2,1,11,3.56,3.01
22.1,2,7,4.09,4.02
25.3,1,1,9.84,3.73
28.1,1,21,11.22,6.35
31.8,9,12,5.46,7.73
18.8,1,20,10.97,6.13
34.0,4,15,4.54,5.17
30.6,10,1,6.24,7.21
19.6,6,10,3.49,4.83
35.5,7,9,8.05,8.05
36.4,2,14,11.77,6.06
19.2,6,16,7.64,5.72
23.5,7,7,4.94,5.44
34.1,10,17,8.13,8.17
33.0,10,22,2.35,9.37
21.7,2,8,10.78,3.93
22.2,2,7,6.53,4.2
25.4,10,13,5.94,7.22
27.7,7,17,7.44,6.69
30.4,1,21,7.87,5.25
25.4,8,19,1.79,7.58
27.3,3,19,8.51,6.33
32.9,6,20,3.66,6.75
18.7,9,11,8.85,7.38
23.0,6,18,10.05,8.89
32.3,9,13,9.84,8.91
35.9,7,16,7.08,7.6
28.2,9,23,6.72,7.33
28.6,2,20,2.57,5.81
20.1,8,2,9.53,7.47
26.9,8,22,3.99,8.33
28.7,2,6,6.46,3.83
22.8,4,16,4.13,4.14
23.4,7,11,2.47,6.23
25.5,4,8,7.93,5.23
18.4,4,14,1.6,2.06
24.4,6,17,9.24,5.65
22.2,10,20,4.49,8.69
24.5,6,12,1.0,5.31
20.4,10,20,6.62,9.0
35.8,3,7,1.52,4.96
29.9,9,13,4.04,6.93
31.6,10,7,8.78,7.72
33.8,2,13,1.69,3.69
28.0,6,6,10.23,6.94
19.7,7,22,1.04,6.83
28.7,9,11,3.72,6.45
29.7,3,10,9.15,5.21
32.9,10,21,4.48,10.95
26.6,3,21,2.12,5.1
20.6,7,10,4.96,5.99
23.7,4,21,3.97,5.27
25.3,8,12,10.27,7.86
30.9,7,17,4.45,6.02
29.4,5,1,9.68,6.53
25.1,7,20,10.81,8.32
37.7,3,14,5.77,5.54
30.1,2,19,11.01,6.68
22.7,6,17,5.15,5.12
20.0,2,14,11.6,4.79
21.1,3,18,1.98,5.0
22.9,6,22,8.56,8.04
21.2,5,23,6.43,5.02
21.7,8,11,5.26,6.31
23.7,9,12,7.96,7.58
21.5,3,21,8.74,6.29
35.9,10,10,1.05,7.11
19.6,3,4,2.84,3.19
28.5,3,0,8.84,5.76
26.2,6,23,8.33,6.35
37.6,1,2,11.63,5.17
20.2,7,21,9.37,8.43
26.0,1,18,11.46,6.6
37.4,5,22,8.73,8.85
35.3,10,6,4.28,7.65
34.3,8,11,2.16,6.43
23.2,4,14,9.6,5.08
21.4,5,4,8.09,5.26
31.4,4,14,1.53,4.83
36.6,4,7,4.96,5.75
29.1,8,9,11.52,8.17
29.4,2,15,6.5,5.03
23.6,1,7,5.76,3.68
33.4,3,0,6.03,5.04
21.7,9,11,3.3,5.85
24.5,4,4,5.06,4.35
26.5,10,2,5.07,7.41
28.2,5,0,1.58,5.16
22.8,2,3,9.44,4.41
20.3,4,7,5.58,4.13
30.2,2,2,10.04,4.79
23.8,2,9,10.35,4.64
29.6,4,1,3.33,5.17
21.1,6,10,8.23,6.59
27.6,7,9,6.2,6.38
28.7,10,20,10.68,10.5
19.0,3,13,3.37,2.93
24.7,3,6,8.46,5.72
20.7,10,1,7.69,6.91
19.3,6,8,4.25,5.54
37.8,3,15,2.5,4.66
24.4,2,12,8.17,4.05
34.2,8,8,9.12,7.48
23.1,5,19,4.47,7.79
31.6,1,3,8.09,4.53
33.2,3,21,5.35,6.78
29.9,10,9,8.85,8.88
27.4,8,21,3.19,7.87
26.2,4,11,10.79,5.84
25.0,7,16,4.16,5.92
36.6,10,13,5.05,8.11
34.6,2,13,1.64,4.5
37.3,7,1,2.23,6.44
20.5,5,20,6.67,6.19
32.6,5,19,3.94,7.23
36.8,6,10,10.19,7.59
21.6,9,15,1.16,5.58
19.3,6,18,5.17,6.61
32.8,8,22,4.71,8.63
29.5,7,5,1.21,6.28
34.8,9,23,2.37,7.04
20.8,4,18,5.55,6.91
33.9,2,4,6.42,4.49
22.0,7,3,5.45,6.04
21.3,6,14,6.84,5.43
21.3,1,3,7.55,3.85
34.3,9,19,1.11,8.29
31.3,9,9,6.11,7.99
28.5,2,23,11.6,5.32
25.2,3,21,6.71,6.09
35.5,5,2,8.45,6.54
25.8,5,4,4.43,5.8
34.3,1,5,9.51,4.97
26.8,8,20,9.5,8.94
25.5,8,21,6.73,8.11
27.3,4,7,11.74,6.32
24.0,7,6,2.38,5.59
33.0,10,20,1.19,9.47
28.1,3,9,9.47,4.64
22.6,6,5,9.88,5.76
36.0,10,13,2.32,8.31
25.7,10,3,3.92,7.41
28.9,9,12,1.19,6.82
36.1,1,19,4.23,5.47
30.5,5,16,9.5,5.96
20.3,4,22,6.7,6.88
36.8,8,6,4.83,7.88
30.6,1,3,5.09,3.32
24.7,9,13,1.01,5.63
20.8,6,2,4.3,5.09
33.9,4,23,8.11,5.61
30.4,9,4,11.72,8.22
28.7,5,15,10.32,5.84
35.9,5,22,1.26,6.94
33.8,5,19,10.88,8.19
21.0,1,3,9.62,3.37
24.2,1,23,9.58,4.24
23.0,8,23,6.04,6.5
32.9,8,1,5.38,7.42
18.7,6,17,4.33,4.23
29.4,4,18,1.72,6.27
33.2,2,18,3.51,6.92
35.5,2,16,3.71,4.24
24.8,9,13,6.32,7.54
34.4,5,18,9.22,8.83
20.2,4,21,6.21,6.72
34.9,10,23,1.64,7.66
20.5,1,12,11.54,4.42
25.9,7,11,11.37,7.58
33.9,3,5,9.64,6.08
21.0,6,20,11.9,7.82
22.6,5,3,6.99,4.55
32.4,5,18,11.59,8.03
32.4,5,15,1.83,5.05
30.8,1,12,5.02,4.08
31.9,1,3,3.48,3.13
28.9,3,22,3.15,6.44
23.0,10,16,2.55,6.57
24.9,4,22,7.85,6.78
21.6,5,0,9.59,5.33
36.2,2,17,7.36,4.27
29.7,8,19,2.62,8.35
26.0,2,16,9.92,5.54
27.2,9,14,8.0,7.64
36.9,2,10,5.27,3.97
21.1,9,21,8.42,9.4
29.7,7,12,3.86,5.49
28.1,8,0,4.8,6.17
30.2,2,16,11.09,5.2
18.4,7,5,4.2,5.43
35.4,6,3,6.17,6.19
36.6,4,19,10.79,8.35
29.3,7,15,8.78,7.4
31.9,4,14,1.68,5.04
36.4,2,14,2.62,4.85
